
"VALUE","NAME"
3541,HINCKLEY
3639,SALMON
3642,URBAN LAND
3659,SALMON
3661,ROCK OUTCROP
3671,VERGENNES
3675,VERGENNES
3677,VERGENNES
3678,VERGENNES
3681,VERGENNES
3682,VERGENNES
3684,VERGENNES
3685,VERGENNES
3686,VERGENNES
3691,BENSON
3692,BENSON
3694,DUMMERSTON
3695,DUMMERSTON
3696,VERGENNES
3705,BENSON
3714,KARS
3716,KARS
3717,KARS
3727,KARS
3729,KARS
3735,KARS
3739,SCANTIC
3743,SCANTIC
3759,IRA
3761,IRA
3770,HAVEN
3772,HAVEN
3780,HAVEN
3781,HAVEN
3785,ELDRIDGE
3791,ELDRIDGE
3792,ELDRIDGE
3797,BENSON
3798,BENSON
3805,BENSON
3806,BENSON
3807,BENSON
3808,BENSON
3809,BENSON
3810,BENSON
3812,BENSON
3827,FREDON
3833,FREDON
3834,FREDON
3840,HINCKLEY
3851,OAKVILLE
3854,COLTON
3859,VERGENNES
3860,VERGENNES
3861,VERGENNES
3874,FRYEBURG
3878,ADRIAN
6663,IRA
6997,WATER
6998,HINCKLEY
